gene_5709,gene_5710,gene_18,gene_5506,gene_1867,gene_5647,gene_5228,gene_1221,gene_6223,gene_4016,gene_5996,gene_5715,gene_6208,gene_45,gene_6344,gene_1673,gene_1778,gene_6776,gene_5057,gene_6167,gene_1881,gene_5934,gene_6605,gene_41,gene_2401,gene_50,gene_7095,gene_5198,gene_6217,gene_2344,gene_6218,gene_1375,gene_6200,gene_6669,gene_44,gene_6180,gene_5931,gene_4935,gene_5937,gene_5930,gene_4679,gene_5997,gene_46,gene_5922,gene_1765,gene_2185,gene_1112,gene_38,gene_4651,gene_567,gene_1762,gene_51,gene_542,gene_1693,gene_5167,gene_995,gene_4278,gene_7069,gene_6730,gene_7029,gene_42,gene_5955,gene_5561,gene_3313,gene_5925,gene_7096,gene_282,gene_1801,gene_6883,gene_1132,gene_43,gene_2798,gene_1549,gene_7101,gene_6612,gene_7100,gene_1797,gene_5551,gene_6788,gene_1108,gene_6926,gene_40,gene_4317,gene_6178,gene_4198,gene_6772,gene_562,gene_4467,gene_1393,gene_1703,gene_6199,gene_6463,gene_5087,gene_2289,gene_5728,gene_5307,gene_6805,gene_5104,gene_6802,gene_5798,mean_expression,std_expression,max_expression,min_expression,expression_range,mutation_flag,cancer,cancer_label,anomaly_flag
19085,17592,18167,14048,-184,9073,10580,22297,112,461,14650,2638,24051,20196,-74,6027,16,-17480,16974,-321,-376,2968,18275,25452,737,1531,18573,16253,14,278,-335,1248,1278,18093,16870,13372,-61,2128,19740,675,-182,24755,16241,16311,19733,2561,544,791,16328,20849,17789,3538,2499,6008,6240,21920,-197,236,8079,5139,17041,5598,12754,18174,11254,17651,9554,796,239,413,21746,19725,21851,4479,11587,6012,99,3680,-380,700,5914,1553,-40,7933,25966,18795,5481,2545,3947,8630,189,17281,1174,11899,19190,15282,833,11311,969,10500,632.25389255155,2403.0042172291564,25966,-17480,43446,0,ALL,0,0
13625,10660,27087,9098,349,25346,5501,30546,2979,12114,21135,16858,4539,17705,-71,15280,1452,-15256,21421,8832,107,8918,-340,19281,1296,4239,14924,22497,22,80,-47,11149,3684,12006,11664,15269,-152,7797,5867,255,278,16265,17558,14516,25213,7901,1806,8299,21200,19699,25622,6599,6116,612,7218,19431,-145,4666,15497,7372,20863,639,19110,10556,16809,23030,7264,5458,102,399,25785,23650,9174,10249,7889,11347,2233,5705,4295,4666,9678,5351,1802,6038,29507,13817,9020,2162,4207,1695,1855,19268,4857,17088,18062,13914,4009,12908,3939,7458,492.6002244354047,2325.07603572854,30546,-15256,45802,0,ALL,0,0
13604,16215,19324,16617,-106,30797,8567,23104,-105,22819,16203,14353,15822,18957,2087,6183,22,-12854,17200,16757,-97,995,-318,11065,160,55,17084,16115,20,59,-86,4229,116,12034,14587,9946,3384,14517,17328,397,6654,23198,17520,18132,18877,3602,399,-71,17001,27485,18530,892,5451,282,9713,15106,-227,17459,11377,15435,10630,5125,11793,20407,20133,15408,5249,8259,136,273,11898,14555,17992,14833,6958,15086,95,13883,11895,2286,6609,-316,7400,7080,21499,15440,12192,5028,3709,4765,3,17921,5308,18015,14291,16150,93,16249,210,11793,674.6566138308318,2336.92056969696,30797,-12854,43651,0,ALL,0,0
22650,20080,14760,23337,-169,28519,14585,18283,2675,3274,13734,23424,15133,20079,445,13077,93,-14937,14992,2992,820,3836,16154,16323,838,628,20761,16465,26,1439,-348,841,94,7974,17503,15571,610,3531,7624,1110,-40,22597,15493,16023,17723,1204,1342,912,13925,21720,14919,1774,1950,14079,3590,22760,-186,1640,9068,12962,11676,2653,20085,16533,19916,13972,7918,4217,497,583,18540,18743,18691,11702,14111,11387,1654,851,895,13330,10724,1916,1424,7850,24068,15294,8270,2624,2466,3529,9,15302,1105,11890,17593,18813,3576,14053,3633,10129,648.6115864777669,2378.4471049911103,28519,-14937,43456,0,ALL,0,0
1291,1886,11631,30256,-190,23338,456,18949,64,17537,12889,16638,14432,20258,1843,8506,333,-13380,13949,14404,76,1840,151,17426,520,2773,19599,17202,-16,212,-350,2826,29,7810,16292,21908,896,12831,14960,1193,14812,21212,15027,16741,16858,2859,5151,6800,13074,17418,17499,3588,7612,433,8024,21306,-80,8739,8694,15728,14110,1717,21445,18153,21147,13935,4418,11103,54,478,16658,22167,13319,14856,11899,14741,77,8568,9326,1787,12996,2740,7938,10803,24111,14117,15261,7081,4968,9000,91,14709,3260,14147,18787,16449,637,16649,735,10758,705.7790713985131,2405.213632505576,30256,-13380,43636,0,ALL,0,0
12223,15549,16738,27268,-264,14990,6725,23166,157,15787,15277,9782,17264,19710,1789,3720,3562,-10492,16610,9567,36,2850,-279,10815,478,124,19110,17756,174,-17,22,3097,38,5024,14149,11203,208,9546,6918,243,811,22534,17843,16820,17858,1259,470,-8,16360,22417,19987,1106,4009,4811,7524,15203,-131,3370,10876,3104,13017,512,20273,13573,15165,15036,5187,9569,184,501,17585,18557,18762,3458,6535,4700,129,5256,2722,1571,5843,-186,12403,7186,24226,15431,10835,4959,2102,10227,73,16884,1845,16668,19533,18315,635,11518,637,16011,624.5782017113199,2326.350674031147,27268,-10492,37760,0,ALL,0,0
21882,21917,14030,28952,-6,27238,11630,19482,41,11030,13409,25301,16172,19137,5593,12676,1441,-19523,12987,4144,375,3843,-565,16575,7,12,22689,13658,149,1060,-847,5339,282,13170,14998,10470,3977,17799,19836,5019,-159,25068,16608,15370,15040,2689,4109,-96,12973,25027,15084,902,5493,7932,15606,26584,-652,4405,7736,12882,13007,4639,21779,11833,24360,14758,8462,11403,491,864,15992,22629,12462,11984,14654,10977,-391,3574,2784,8390,17349,-382,715,13412,23997,11945,16373,3238,3974,8469,17,11993,683,12879,20529,22334,817,12492,973,17077,791.4015991022584,2558.175067303838,28952,-19523,48475,1,ALL,0,0
247,62,23505,13297,-143,32645,74,24312,-26,24727,17722,1182,9642,23994,14774,9783,184,-8692,19782,16550,22,9087,-90,19482,-144,2682,22481,17086,179,102,-153,932,136,3790,18221,10736,6102,5039,15159,6669,3119,22936,21275,19146,20832,2753,6975,832,16559,22807,23352,6134,1689,969,2345,19346,-84,14706,12914,8097,16429,119,21753,9209,18365,17485,4258,1535,112,441,20255,18432,14221,8760,5751,10693,100,952,8129,-112,8178,273,9196,14766,28109,16256,11519,859,1891,2091,41,18649,1088,13208,19508,10127,1631,14283,1263,5343,557.5655772198064,2312.3713397518604,32645,-8692,41337,0,ALL,0,0
4837,18793,20225,33143,-202,31031,12670,24377,-23,20755,18828,17322,3752,13457,314,4453,478,-11572,17360,18100,-180,7168,-307,12502,45,145,12040,16390,-20,1060,-38,1045,-53,12336,9670,6474,1099,11235,6595,791,3342,20962,13835,14653,20221,815,145,-56,17228,22763,14423,986,3219,319,5854,18615,-125,9377,12498,7561,14131,2176,16458,18879,15715,15675,3385,7217,5089,364,18930,21879,20398,7370,4661,10248,222,10643,8607,4812,3462,-414,2680,7182,23933,14616,9622,5500,1712,2273,16,18397,2415,16021,14311,13491,846,11973,694,7500,558.6315051199326,2281.113162892132,33143,-11572,44715,0,ALL,0,0
0,9395,6479,27358,-256,19084,7720,9995,202,17110,9490,20702,16311,16259,569,13988,379,-13838,11538,16217,205,3133,90,12701,-862,318,15575,12565,232,15643,-508,6219,119,15673,10471,15867,965,12049,13380,696,17185,21770,15428,13827,12945,2233,187,70,11291,21305,14836,912,13311,6259,15573,23965,-128,12634,6580,12559,10592,2175,16418,22291,22998,11343,7334,12317,8308,435,15580,18643,22264,10960,9427,13484,363,15357,11098,2617,9987,-364,11267,10188,20657,15843,15842,16085,5593,12217,242,9927,3555,9865,18881,18329,883,16895,888,17611,954.4230607378314,2685.2624090382774,27358,-13838,41196,1,ALL,0,0
10266,25245,22143,7570,-154,2006,2810,24322,21,14610,20459,26510,18407,-173,-228,2900,-64,-7397,17004,6256,-124,1240,-17,188,343,19,868,16516,156,8,-38,2700,118,14895,570,9913,-162,1387,5543,327,1060,164,17866,19267,17086,5193,16,-103,9673,33548,20840,1263,4391,356,13083,26106,-137,1575,1971,3711,-74,814,31453,22336,10654,2518,1779,-61,194,416,5325,9454,28788,393,2707,10409,-14,7292,1079,6106,10260,-259,3094,2394,17827,15421,6872,10631,3173,2973,184,16869,1762,22218,1161,10248,560,9758,447,17420,577.650301585075,2499.3476835611264,33548,-7397,40945,0,ALL,0,0
28402,25589,24327,11829,-129,39558,20226,28109,184,22207,19605,4249,12690,11071,-14,6074,51,-17179,19092,13627,-102,1018,-440,13831,678,7518,7597,20888,137,1498,-176,2809,206,16299,8588,26896,129,1726,7606,150,3283,21747,10551,9304,18918,1026,179,16487,18215,21028,10036,8237,15272,-28,11354,19140,-202,6251,12986,16325,11270,643,20524,13895,21464,16025,4889,7434,367,575,17807,16951,12732,14711,4033,16305,-173,10404,3426,-394,3061,10071,8127,1082,24093,11499,8747,7517,8670,1743,155,13488,41,12208,18084,12201,886,8473,527,6780,524.7583111235798,2325.8752777997797,39558,-17179,56737,0,ALL,0,0
9976,11674,36417,29611,-138,4082,3184,34139,497,860,29594,3816,9256,22878,-336,3729,-36,-14937,26573,-1,425,2110,27822,16743,1177,7453,19551,29191,28,298,-197,1212,146,10721,17779,25996,-233,1877,18187,482,-151,22177,17883,17534,22274,740,279,17655,20490,9459,21444,10411,7426,3894,9368,19709,153,216,8296,1782,19434,2933,21233,19249,8604,23399,4153,528,146,782,25224,13981,13189,1730,7859,2129,556,2540,-169,4037,8399,5885,106,4785,25272,17999,5855,1035,2505,12805,148,24282,801,13192,21081,15917,1525,7079,1820,6716,532.2523495581428,2398.7047306460363,36417,-14937,51354,0,ALL,0,0
7295,11243,14989,27983,-32,21307,4462,21817,5,9988,15189,19806,16543,19613,-94,6023,59,-17368,17425,10989,-205,1815,-129,11329,734,245,19009,19097,26,200,-127,6566,185,9081,11295,13709,-274,9198,10398,250,3497,25276,17002,15702,17151,2785,7505,-142,15518,25322,18546,1070,6179,139,10048,22320,-26,4465,8384,4768,10299,38,16553,15811,16743,14012,7131,7251,163,672,16402,18952,20579,5703,13925,10672,156,4516,2737,-191,15264,-386,8558,8574,25469,14915,12299,8351,1876,5981,-146,15906,1394,20515,16642,17069,108,12468,71,9241,662.1667835601066,2346.561536348121,27983,-17368,45351,0,ALL,0,0
3492,17746,18343,13679,-219,32785,14550,24538,-19,14158,16096,22580,3771,12980,226,13278,135,-17377,17105,13136,-229,10336,-316,19430,502,9085,10929,16714,1,12226,-534,11473,9270,19908,8496,15687,165,8572,7612,397,2410,20927,15190,14125,19906,14011,179,4958,16702,19921,16072,9692,10032,2572,15902,17889,-115,3297,11552,13714,15970,2193,21381,15227,21907,17512,3951,4692,5352,539,20346,23576,14209,13201,8183,12817,-76,10295,3265,13928,4503,4297,1986,3911,24589,13847,10798,17078,5221,2425,4271,17608,16107,11965,19590,15835,512,15190,515,8927,597.8637957637817,2390.180132961917,32785,-17377,50162,0,ALL,0,0
26941,19660,12801,12146,68,31614,13276,20358,76,19291,16603,17114,10429,14928,601,4718,196,-10652,16958,14115,66,1865,-376,6480,29,322,16563,15861,75,506,-270,6414,183,15023,7579,21004,619,8670,6395,1142,10585,13198,19025,18114,18341,2381,244,29,15794,28168,14954,2367,7253,342,4344,15369,-50,9173,9245,13713,8380,2722,20981,10184,14998,13508,5371,6827,988,530,16130,17285,15345,10872,4737,15085,400,8649,5083,4546,10193,-337,14538,9240,25361,15195,11200,9976,4124,3323,29,16740,4610,13846,19619,17792,441,16136,304,14332,603.3133679337916,2295.469269316649,31614,-10652,42266,0,ALL,0,0
19460,20863,25673,24899,-438,16507,9956,31261,-117,9892,23575,13044,7338,19471,331,4110,-93,-20406,21808,7640,34,1883,-378,9805,176,4681,15848,22113,154,142,-530,1678,150,8854,12077,12142,-419,3060,6681,549,7593,24798,20134,19996,23498,569,111,7953,20633,24997,12987,3692,5454,-276,7989,24531,-381,2523,11815,5293,7327,-4,22469,12494,10284,17149,6020,2722,20,658,15100,18086,21251,4226,5503,6656,79,4273,810,-134,4658,2584,9134,5017,27327,20237,2248,4920,1128,2617,-233,23878,-710,19042,19848,12030,1976,10258,2331,5553,501.343806985552,2372.946803988229,31261,-20406,51667,0,ALL,0,0
21622,19478,16716,28698,760,18125,10079,21029,334,5093,15590,5545,23297,15550,15627,12406,6960,-17310,15987,6694,1537,6366,54,17664,13464,561,16027,18911,1749,807,921,20201,8054,15573,12695,11871,12507,10227,4265,5383,-274,22962,15535,15725,18291,13338,4770,504,15078,25152,13905,2244,10726,970,19485,22409,93,3570,9007,7265,13861,2367,20590,9242,16089,13940,13146,7642,164,3038,19462,15440,22386,6639,14917,8102,414,461,1334,269,15349,114,554,11454,24409,9395,12607,5056,2537,911,3693,16654,443,18547,16408,14719,4192,10736,4259,8942,618.8586056950484,2390.1253952059583,28698,-17310,46008,0,AML,1,0
61228,39079,45492,25366,-194,15057,29588,37884,-120,14177,26633,11270,11145,13001,1991,7855,15791,-16281,28689,12013,1481,3703,-452,10695,1233,1733,10462,35612,216,11527,-336,1055,216,6927,9628,7860,1909,7848,4991,1082,-288,21194,18960,15192,27470,2306,1118,2171,21889,26279,13424,3481,2205,682,5008,14490,-26,6588,11349,6074,7103,1752,17171,7021,16293,16721,6658,4881,6162,456,16358,13350,13302,4972,7757,7771,4,216,4984,3986,4222,904,228,4898,27111,16601,9125,639,1226,2551,-45,24399,-591,17356,13388,9765,2327,8158,2517,7966,514.4967036049937,2440.7228240388185,61228,-16281,77509,0,AML,1,0
18541,15884,23865,12956,1563,37164,9547,26190,20611,15576,17685,14398,25528,25106,15292,24521,2005,-27398,17491,16580,17863,10634,-761,26516,7955,718,26818,18167,371,782,-135,9452,17022,17446,21865,14886,13804,15609,17522,10500,-7,23678,18111,19287,20499,21135,13366,580,17048,22090,17332,2371,18826,-204,14407,15286,-267,12950,11444,18066,17621,17853,17536,12549,21546,18306,13773,15057,777,9823,23892,7341,10975,15921,17609,16593,10610,4451,7461,-833,8346,-38,239,16239,21527,17907,22286,7320,13963,1297,11517,19549,1720,12363,17950,20839,15761,12107,15519,16133,775.1434983868705,2676.664776505604,37164,-27398,64562,1,AML,1,0
4,15693,17359,23363,-103,32204,6839,20909,6869,13094,14577,4954,20254,18866,15833,21277,1003,-23673,14642,13065,13296,31781,-954,25634,9933,1635,17484,17086,1586,1729,1149,16492,19361,16136,16711,14927,12347,15261,13055,13294,-104,21916,14434,15005,17868,12115,6523,2183,15104,19284,14387,4269,13481,-131,13157,20108,176,4575,10228,12242,15041,7839,22013,16524,20096,16806,11107,7895,18403,1280,20251,18590,20056,13307,15160,13591,3234,1221,4497,2215,9990,870,540,7714,26301,13632,15062,8205,13317,753,12979,16257,1117,4848,16806,8142,13087,16980,13221,10818,689.248141394305,2543.537829583352,32204,-23673,55877,1,AML,1,0
0,16072,19406,9820,-360,28295,9211,24380,-44,943,16836,4674,7075,15226,1053,20124,5702,-23645,16731,488,1661,2494,-765,21592,2676,3946,11184,15612,727,24744,634,10574,10043,18118,14663,13107,584,12468,10355,995,-182,25342,14254,10312,18830,5902,572,819,16909,16835,15140,6727,19451,-179,22822,25056,-97,304,10041,6275,15033,1851,22575,22819,12008,16523,6177,743,17415,804,21518,20343,23514,8768,14977,11303,-136,1294,-313,-459,3885,1938,235,2974,29169,18447,10941,3903,16171,2708,5072,18273,807,4863,18352,3911,1663,15662,2702,10660,626.8859587599944,2473.180837761134,29169,-23645,52814,0,AML,1,0
13489,18200,17878,14161,-265,29833,14629,18636,585,13274,12912,18379,18421,18644,2925,16705,429,-20376,14475,11858,1073,5559,-397,19351,548,1710,16876,15944,303,3074,-383,7493,15202,20011,15706,16503,2408,11793,15986,3138,-15,22897,14595,13913,16672,13895,795,1065,14568,21655,11444,2644,13765,1983,15876,19945,-31,9662,9451,8724,12453,2621,21599,14906,18352,13859,12227,3701,2740,646,17844,20627,20327,10235,15315,10547,383,6127,7892,1645,12727,2039,3053,14128,25145,14104,8870,13159,13057,2493,10476,14845,2317,18181,20581,12096,1953,15236,2475,8913,673.2794220788329,2413.149602516045,29833,-20376,50209,0,AML,1,0
7617,23010,26052,9486,996,23862,17503,28159,374,9065,20789,3690,18508,12482,3969,11012,2204,-9501,20653,6918,6962,2569,-448,14706,19615,269,9184,19003,10778,6879,8059,8137,3104,10380,8446,8957,2177,12352,10418,808,23,18498,9529,10279,25141,1908,6377,442,20051,12864,10319,975,6027,113,7688,21146,1831,2705,15533,11383,17479,2452,24526,15609,17714,19228,6300,5297,8991,15074,19262,20969,16980,11461,7780,9355,681,1842,2710,3,17184,-14,-9,7116,27311,6080,9018,1422,8213,487,1653,17393,143,13555,18504,8177,4063,17796,3605,8936,556.4631785664188,2376.681824230698,30354,-9501,39855,0,AML,1,0
13741,17747,11983,15288,109,25055,12593,17347,11456,17428,12535,10463,21857,20311,3170,18372,353,-17580,13378,15856,14555,13588,-1017,24678,9994,209,21787,14035,2236,989,1556,20688,6506,18433,16788,13303,4053,15961,7901,931,-104,24419,16207,15421,15917,11990,20599,45,12637,23132,16802,1969,12386,-154,13884,25008,505,13176,8770,15229,14230,9349,19501,17035,21020,15527,15470,12304,1409,18795,18329,16168,20303,14783,17064,13538,4129,1425,10002,-820,4889,-186,293,13913,23082,13791,16498,7226,12449,769,2971,13465,8364,16109,16425,17437,6612,13689,6268,13885,718.9344929162576,2533.678058251108,25055,-17580,42635,0,AML,1,0
20785,14399,23508,13854,53,19277,9554,28210,1331,16544,20128,12016,20540,27914,1743,12276,11205,-25491,19275,16264,7238,1636,-576,20574,7791,3879,21617,19949,1084,1050,425,5272,2096,11400,23829,12122,2239,17124,11414,1839,-190,21435,19257,17000,21941,9866,5402,9042,18742,15086,14026,5114,7110,74,10842,21725,1123,8513,13264,8454,15646,2499,10623,15591,12165,17676,16603,13685,142,2874,20905,20236,16823,9846,11692,10144,998,499,8249,1967,5717,2857,514,10970,27503,18190,15374,1007,3250,1614,688,346,1756,15030,13732,17044,7821,8750,7035,8815,598.6488988637958,2405.2685500806338,28350,-25491,53841,0,AML,1,0
16866,21063,17996,22266,-154,21177,15235,21618,1827,15837,15004,20609,20758,23054,1970,19173,209,-28400,16074,12220,12339,1880,3028,15496,976,2113,24514,18099,375,2964,-189,11139,12715,20909,19338,14207,1064,13059,8140,2587,-180,23431,16767,15893,17661,10899,2212,5199,15076,16980,15939,3076,5820,6667,11572,20287,-24,10526,10601,7373,12086,7039,18228,14683,18075,14574,12922,5904,1127,1153,15191,19187,16831,9002,14497,10373,1721,1833,11045,5202,13917,1365,9130,17211,24716,10872,15081,8210,6749,4148,7108,17196,2406,13850,18539,18788,5778,11115,7969,10756,676.9208865198485,2436.964932765126,25093,-28400,53493,0,AML,1,0
246,15803,19679,11386,4476,32946,11886,22037,12678,17511,15664,24906,20927,19527,3928,21498,8072,-27811,15952,13854,3654,6191,-329,23659,4108,870,18039,17099,4226,18773,4577,3959,21147,19907,18075,11468,2556,9895,11200,1145,-111,24536,14859,14392,16653,14090,1964,1255,14946,21470,17207,1616,11794,-260,13841,16638,1945,8252,9960,9068,13617,8728,16657,15917,20089,15518,11422,3416,3437,2020,19115,16571,21232,10418,17712,12292,6421,2395,6970,5619,5336,300,1252,12688,26725,9752,8790,8437,14471,1446,13176,16938,451,19490,18824,12311,13076,14308,13195,8805,723.5634731378875,2507.382019438621,32946,-27811,60757,0,AML,1,0
9233,10351,45815,15874,453,42904,4876,36200,422,21598,35196,4137,6824,27768,-207,6288,490,-21984,29371,24864,-65,630,103,6339,627,6418,20818,26442,108,-4,-212,19693,741,22228,19541,13624,-267,8149,15140,-120,2302,22889,24477,21240,13566,7285,-26,57,25158,25069,27495,27707,19135,137,15447,13327,-333,9885,23488,8540,5199,1228,13120,14551,18109,12869,5305,6387,152,772,9045,17547,11852,12103,4197,16456,934,6199,7377,7,4596,-337,13407,3495,21262,20398,11954,14056,4272,4142,335,21098,12475,13721,19768,9762,803,10078,912,7925,582.1949782578201,2473.9868811212777,45815,-21984,67799,0,ALL,0,0
